
06/10/2023 12:17:43 |  187.189.83.36  |    Administrador     |   BuscarAlmacenes    | SdkAlmacenes         | Empresa: cmPuntoVentas
06/10/2023 12:17:46 |  187.189.83.36  |    Administrador     |   BuscarAlmacenes    | SdkAlmacenes         | Sin errores, buscamos almacenes
06/10/2023 12:17:46 |  187.189.83.36  |    Administrador     |   BuscarAlmacenes    | SdkAlmacenes         | Posisionamos en el primer almacen
06/10/2023 12:35:31 |  187.189.83.36  |    Administrador     |   BuscarAlmacenes    | SdkAlmacenes         | Empresa: cmPuntoVentas
06/10/2023 12:35:34 |  187.189.83.36  |    Administrador     |   BuscarAlmacenes    | SdkAlmacenes         | Sin errores, buscamos almacenes
06/10/2023 12:35:34 |  187.189.83.36  |    Administrador     |   BuscarAlmacenes    | SdkAlmacenes         | Posisionamos en el primer almacen
06/10/2023 16:42:08 |  187.189.83.36  |   Usuario anonimo    |        getBy         | Usuarios             | SELECT * FROM usuarios WHERE usuario='Administrador'
06/10/2023 16:42:13 |  187.189.83.36  |    Administrador     |       updateBy       | Usuarios             | UPDATE usuarios SET ua_time = 1696628528, ua_ip = '187.189.83.36', ua_host = '192.168.1.200' WHERE usuario = 'Administrador';
06/10/2023 16:42:13 |  187.189.83.36  |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
06/10/2023 16:42:13 |  187.189.83.36  |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
06/10/2023 16:42:13 |  187.189.83.36  |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
06/10/2023 16:42:13 |  187.189.83.36  |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
06/10/2023 16:42:13 |  187.189.83.36  |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
06/10/2023 16:42:13 |  187.189.83.36  |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
06/10/2023 16:42:13 |  187.189.83.36  |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
06/10/2023 16:42:13 |  187.189.83.36  |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
