
20/02/2024 21:54:30 | 177.240.180.241 |   index    |    scriptError    |    Libreria G     | Undefined variable: txt_MATRICULA

20/02/2024 21:54:30 | 177.240.180.241 |   index    |    scriptError    |    Libreria G     | Undefined variable: txt_PASSW1

20/02/2024 21:54:30 | 177.240.180.241 |   index    |    scriptError    |    Libreria G     | Undefined variable: txt_MATRICULA

21/02/2024 04:07:04 | 187.188.227.88  |   index    |    scriptError    |    Libreria G     | Undefined variable: txt_MATRICULA

21/02/2024 04:07:04 | 187.188.227.88  |   index    |    scriptError    |    Libreria G     | Undefined variable: txt_PASSW1

21/02/2024 04:07:04 | 187.188.227.88  |   index    |    scriptError    |    Libreria G     | Undefined variable: txt_MATRICULA

21/02/2024 16:58:54 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Undefined property: VentasControlador::$adapter

21/02/2024 17:03:20 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Class 'EstadisticaControlador' not found

21/02/2024 17:03:20 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Class 'EstadisticaControlador' not found

21/02/2024 20:27:10 | 187.190.158.86  |   index    |    scriptError    |    Libreria G     | Undefined variable: txt_MATRICULA

21/02/2024 20:27:10 | 187.190.158.86  |   index    |    scriptError    |    Libreria G     | Undefined variable: txt_PASSW1

21/02/2024 20:27:10 | 187.190.158.86  |   index    |    scriptError    |    Libreria G     | Undefined variable: txt_MATRICULA

22/02/2024 07:12:58 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Class 'EstadisticaControlador' not found

22/02/2024 07:12:58 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Class 'EstadisticaControlador' not found

22/02/2024 07:20:34 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Class 'EstadisticaControlador' not found

22/02/2024 07:20:34 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Class 'EstadisticaControlador' not found

22/02/2024 07:21:33 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Undefined variable: Becas_comedores

22/02/2024 07:21:33 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Class name must be a valid object or a string

22/02/2024 07:21:33 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Class name must be a valid object or a string

22/02/2024 07:21:33 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Class name must be a valid object or a string

22/02/2024 07:21:49 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Undefined variable: Becas_comedores

22/02/2024 07:21:49 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Class name must be a valid object or a string

22/02/2024 07:21:49 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Class name must be a valid object or a string

22/02/2024 07:21:49 |  187.189.83.36  |   index    |    scriptError    |    Libreria G     | Class name must be a valid object or a string
